h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.78500e+00,5.00000e-01,9.99902e-01,4.80681e-06,9.35724e-05
1.78500e+00,5.00175e-01,9.99906e-01,4.61945e-06,8.91014e-05
1.78500e+00,5.00350e-01,9.99905e-01,4.71325e-06,9.05863e-05
1.78500e+00,5.00525e-01,9.99895e-01,5.36564e-06,9.95883e-05
1.78500e+00,5.00700e-01,9.99864e-01,7.68587e-06,1.28722e-04
1.78500e+00,5.00875e-01,9.99679e-01,2.11183e-05,3.00175e-04
1.78500e+00,5.01050e-01,9.88366e-01,7.13656e-04,1.09208e-02
1.78500e+00,5.01225e-01,9.99811e-01,5.93375e-06,1.83363e-04
1.78500e+00,5.01400e-01,9.99898e-01,1.53141e-06,1.00325e-04
1.78500e+00,5.01575e-01,9.99915e-01,8.07613e-07,8.37045e-05
1.78500e+00,5.01750e-01,9.99922e-01,5.78283e-07,7.71789e-05
1.78500e+00,5.01925e-01,9.99926e-01,4.70011e-07,7.32174e-05
1.78500e+00,5.02100e-01,9.99930e-01,4.01754e-07,6.99765e-05
1.78500e+00,5.02275e-01,9.99933e-01,3.49689e-07,6.68720e-05
1.78500e+00,5.02450e-01,9.99936e-01,3.05171e-07,6.37058e-05
1.78500e+00,5.02625e-01,9.99939e-01,2.64286e-07,6.04321e-05
1.78500e+00,5.02800e-01,9.99943e-01,2.24594e-07,5.70978e-05
1.78500e+00,5.02975e-01,9.99946e-01,1.83960e-07,5.38840e-05
1.78500e+00,5.03150e-01,9.99949e-01,1.40638e-07,5.13588e-05
1.78500e+00,5.03325e-01,9.99948e-01,9.82878e-08,5.16636e-05
1.78500e+00,5.03500e-01,9.99936e-01,1.07376e-07,6.36519e-05
1.78500e+00,5.03675e-01,9.99887e-01,4.64035e-07,1.12891e-04
1.78500e+00,5.03850e-01,9.99873e-01,8.68357e-07,1.25777e-04
1.78500e+00,5.04025e-01,9.99906e-01,7.46811e-07,9.37243e-05
1.78500e+00,5.04200e-01,9.99924e-01,6.24190e-07,7.58366e-05
1.78500e+00,5.04375e-01,9.99932e-01,5.49142e-07,6.70827e-05
1.78500e+00,5.04550e-01,9.99937e-01,4.99941e-07,6.29407e-05
1.78500e+00,5.04725e-01,9.99938e-01,4.63409e-07,6.16253e-05
1.78500e+00,5.04900e-01,9.99937e-01,4.32944e-07,6.23974e-05
1.78500e+00,5.05075e-01,9.99935e-01,4.05421e-07,6.49047e-05
1.78500e+00,5.05250e-01,9.99931e-01,3.79656e-07,6.89312e-05
1.78500e+00,5.05425e-01,9.99925e-01,3.55621e-07,7.42920e-05
1.78500e+00,5.05600e-01,9.99919e-01,3.33964e-07,8.07871e-05
1.78500e+00,5.05775e-01,9.99911e-01,3.15649e-07,8.81852e-05
1.78500e+00,5.05950e-01,9.99903e-01,3.01672e-07,9.62368e-05
1.78500e+00,5.06125e-01,9.99895e-01,2.92656e-07,1.04661e-04
1.78500e+00,5.06300e-01,9.99886e-01,2.88904e-07,1.13295e-04
1.78500e+00,5.06475e-01,9.99878e-01,2.90149e-07,1.22121e-04
