h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.78500e+00,5.00000e-01,9.99878e-01,6.69884e-06,1.14984e-04
1.78500e+00,5.00175e-01,9.99894e-01,6.23850e-06,1.00123e-04
1.78500e+00,5.00350e-01,9.99899e-01,6.01256e-06,9.46079e-05
1.78500e+00,5.00525e-01,9.99898e-01,6.16279e-06,9.61200e-05
1.78500e+00,5.00700e-01,9.99886e-01,7.07323e-06,1.07337e-04
1.78500e+00,5.00875e-01,9.99843e-01,1.03418e-05,1.46174e-04
1.78500e+00,5.01050e-01,9.99567e-01,3.10536e-05,4.02085e-04
1.78500e+00,5.01225e-01,9.94840e-01,3.17582e-04,4.84271e-03
1.78500e+00,5.01400e-01,9.99807e-01,6.33660e-06,1.86665e-04
1.78500e+00,5.01575e-01,9.99896e-01,1.80039e-06,1.02355e-04
1.78500e+00,5.01750e-01,9.99915e-01,1.00692e-06,8.44549e-05
1.78500e+00,5.01925e-01,9.99922e-01,7.47452e-07,7.72214e-05
1.78500e+00,5.02100e-01,9.99927e-01,6.21525e-07,7.27131e-05
1.78500e+00,5.02275e-01,9.99930e-01,5.40783e-07,6.90237e-05
1.78500e+00,5.02450e-01,9.99934e-01,4.79093e-07,6.56208e-05
1.78500e+00,5.02625e-01,9.99937e-01,4.26755e-07,6.23647e-05
1.78500e+00,5.02800e-01,9.99940e-01,3.79067e-07,5.92352e-05
1.78500e+00,5.02975e-01,9.99943e-01,3.32787e-07,5.62786e-05
1.78500e+00,5.03150e-01,9.99946e-01,2.84680e-07,5.36932e-05
1.78500e+00,5.03325e-01,9.99948e-01,2.30771e-07,5.22109e-05
1.78500e+00,5.03500e-01,9.99945e-01,1.68408e-07,5.47502e-05
1.78500e+00,5.03675e-01,9.99926e-01,1.29077e-07,7.40807e-05
1.78500e+00,5.03850e-01,9.99868e-01,3.55099e-07,1.32046e-04
1.78500e+00,5.04025e-01,9.99873e-01,6.10493e-07,1.26483e-04
1.78500e+00,5.04200e-01,9.99906e-01,5.64581e-07,9.37536e-05
1.78500e+00,5.04375e-01,9.99923e-01,5.01205e-07,7.65839e-05
1.78500e+00,5.04550e-01,9.99932e-01,4.57216e-07,6.76723e-05
1.78500e+00,5.04725e-01,9.99937e-01,4.27141e-07,6.28683e-05
1.78500e+00,5.04900e-01,9.99939e-01,4.05714e-07,6.05808e-05
