h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.78500e+00,5.00000e-01,9.29186e-01,8.85904e-07,7.08128e-02
1.78500e+00,5.00175e-01,9.26911e-01,8.08343e-07,7.30882e-02
1.78500e+00,5.00350e-01,9.22725e-01,8.45647e-07,7.72742e-02
1.78500e+00,5.00525e-01,9.23344e-01,1.64599e-06,7.66546e-02
1.78500e+00,5.00700e-01,9.36373e-01,1.75554e-06,6.36253e-02
1.78500e+00,5.00875e-01,9.38976e-01,1.34357e-06,6.10227e-02
1.78500e+00,5.01050e-01,9.39681e-01,1.08371e-06,6.03184e-02
1.78500e+00,5.01225e-01,9.40449e-01,8.93593e-07,5.95498e-02
1.78500e+00,5.01400e-01,9.41445e-01,7.28362e-07,5.85546e-02
1.78500e+00,5.01575e-01,9.42622e-01,5.70114e-07,5.73776e-02
1.78500e+00,5.01750e-01,9.43901e-01,4.13032e-07,5.60989e-02
1.78500e+00,5.01925e-01,9.45183e-01,2.60745e-07,5.48170e-02
1.78500e+00,5.02100e-01,9.46349e-01,1.30431e-07,5.36508e-02
1.78500e+00,5.02275e-01,9.47263e-01,6.42618e-08,5.27367e-02
1.78500e+00,5.02450e-01,9.47780e-01,1.54210e-07,5.22197e-02
1.78500e+00,5.02625e-01,9.47758e-01,5.99162e-07,5.22410e-02
1.78500e+00,5.02800e-01,9.47061e-01,1.85851e-06,5.29375e-02
1.78500e+00,5.02975e-01,9.45494e-01,5.16116e-06,5.45011e-02
1.78500e+00,5.03150e-01,9.42508e-01,1.47311e-05,5.74769e-02
1.78500e+00,5.03325e-01,9.35290e-01,5.27683e-05,6.46567e-02
1.78500e+00,5.03500e-01,7.02139e-01,1.89624e-02,2.78899e-01
1.78500e+00,5.03675e-01,9.41980e-01,4.19944e-04,5.75996e-02
1.78500e+00,5.03850e-01,9.47207e-01,6.73892e-05,5.27256e-02
1.78500e+00,5.04025e-01,9.45528e-01,2.59184e-05,5.44461e-02
1.78500e+00,5.04200e-01,9.44070e-01,1.30432e-05,5.59168e-02
1.78500e+00,5.04375e-01,9.42950e-01,7.33888e-06,5.70432e-02
1.78500e+00,5.04550e-01,9.42104e-01,4.31302e-06,5.78918e-02
1.78500e+00,5.04725e-01,9.41479e-01,2.53889e-06,5.85185e-02
1.78500e+00,5.04900e-01,9.41033e-01,1.44315e-06,5.89654e-02
1.78500e+00,5.05075e-01,9.40734e-01,7.59462e-07,5.92657e-02
1.78500e+00,5.05250e-01,9.40553e-01,3.57894e-07,5.94469e-02
1.78500e+00,5.05425e-01,9.40466e-01,1.94745e-07,5.95338e-02
1.78500e+00,5.05600e-01,9.40446e-01,3.50305e-07,5.95541e-02
1.78500e+00,5.05775e-01,9.40439e-01,1.38203e-06,5.95594e-02
1.78500e+00,5.05950e-01,9.40217e-01,8.25482e-06,5.97743e-02
1.78500e+00,5.06125e-01,9.09135e-01,1.68204e-03,8.91827e-02
1.78500e+00,5.06300e-01,9.41951e-01,2.52124e-05,5.80241e-02
1.78500e+00,5.06475e-01,9.42132e-01,8.58604e-06,5.78594e-02
1.78500e+00,5.06650e-01,9.42396e-01,6.05815e-06,5.75978e-02
1.78500e+00,5.06825e-01,9.42619e-01,6.22141e-06,5.73749e-02
1.78500e+00,5.07000e-01,9.42542e-01,8.58833e-06,5.74498e-02
1.78500e+00,5.07175e-01,9.41297e-01,1.61469e-05,5.86872e-02
1.78500e+00,5.07350e-01,9.34560e-01,4.70802e-05,6.53933e-02
1.78500e+00,5.07525e-01,9.16407e-01,1.56074e-04,8.34373e-02
1.78500e+00,5.07700e-01,9.48418e-01,3.80892e-05,5.15440e-02
1.78500e+00,5.07875e-01,9.55768e-01,9.70316e-06,4.42227e-02
1.78500e+00,5.08050e-01,9.59121e-01,3.52497e-06,4.08753e-02
1.78500e+00,5.08225e-01,9.61656e-01,1.92432e-06,3.83420e-02
1.78500e+00,5.08400e-01,9.63519e-01,1.83019e-06,3.64791e-02
1.78500e+00,5.08575e-01,9.64627e-01,2.27985e-06,3.53709e-02
1.78500e+00,5.08750e-01,9.65044e-01,2.82316e-06,3.49536e-02
1.78500e+00,5.08925e-01,9.64968e-01,3.24232e-06,3.50292e-02
1.78500e+00,5.09100e-01,9.64622e-01,3.46360e-06,3.53746e-02
1.78500e+00,5.09275e-01,9.64179e-01,3.49314e-06,3.58173e-02
1.78500e+00,5.09450e-01,9.63744e-01,3.37007e-06,3.62531e-02
1.78500e+00,5.09625e-01,9.63365e-01,3.14034e-06,3.66322e-02
1.78500e+00,5.09800e-01,9.63057e-01,2.84608e-06,3.69404e-02
1.78500e+00,5.09975e-01,9.62814e-01,2.52299e-06,3.71830e-02
1.78500e+00,5.10150e-01,9.62622e-01,2.20126e-06,3.73762e-02
1.78500e+00,5.10325e-01,9.62457e-01,1.90790e-06,3.75415e-02
1.78500e+00,5.10500e-01,9.62294e-01,1.66972e-06,3.77043e-02
1.78500e+00,5.10675e-01,9.62104e-01,1.51766e-06,3.78940e-02
1.78500e+00,5.10850e-01,9.61853e-01,1.49366e-06,3.81455e-02
1.78500e+00,5.11025e-01,9.61495e-01,1.66353e-06,3.85035e-02
1.78500e+00,5.11200e-01,9.60967e-01,2.14417e-06,3.90308e-02
1.78500e+00,5.11375e-01,9.60172e-01,3.16832e-06,3.98248e-02
1.78500e+00,5.11550e-01,9.58935e-01,5.26247e-06,4.10593e-02
1.78500e+00,5.11725e-01,9.56889e-01,9.83624e-06,4.31012e-02
1.78500e+00,5.11900e-01,9.53037e-01,2.17588e-05,4.69416e-02
1.78500e+00,5.12075e-01,9.43341e-01,6.74912e-05,5.65918e-02
1.78500e+00,5.12250e-01,8.90495e-01,5.60093e-04,1.08945e-01
1.78500e+00,5.12425e-01,9.68642e-01,3.67568e-04,3.09905e-02
1.78500e+00,5.12600e-01,9.71501e-01,6.69985e-05,2.84324e-02
1.78500e+00,5.12775e-01,9.68459e-01,2.79474e-05,3.15130e-02
1.78500e+00,5.12950e-01,9.66862e-01,1.62286e-05,3.31215e-02
1.78500e+00,5.13125e-01,9.66517e-01,1.13511e-05,3.34717e-02
1.78500e+00,5.13300e-01,9.67259e-01,8.91714e-06,3.27324e-02
1.78500e+00,5.13475e-01,9.68829e-01,7.51806e-06,3.11632e-02
1.78500e+00,5.13650e-01,9.70853e-01,6.62379e-06,2.91402e-02
1.78500e+00,5.13825e-01,9.72951e-01,6.05345e-06,2.70434e-02
1.78500e+00,5.14000e-01,9.74835e-01,5.79929e-06,2.51591e-02
1.79000e+00,5.00000e-01,9.32361e-01,1.09859e-06,6.76376e-02
1.79000e+00,5.00175e-01,9.31978e-01,1.00895e-06,6.80205e-02
1.79000e+00,5.00350e-01,9.31727e-01,8.92614e-07,6.82720e-02
1.79000e+00,5.00525e-01,9.31496e-01,7.40601e-07,6.85034e-02
1.79000e+00,5.00700e-01,9.31051e-01,5.40386e-07,6.89485e-02
1.79000e+00,5.00875e-01,9.29837e-01,3.03077e-07,7.01626e-02
1.79000e+00,5.01050e-01,9.27444e-01,4.49881e-07,7.25560e-02
1.79000e+00,5.01225e-01,9.34052e-01,2.26267e-06,6.59462e-02
1.79000e+00,5.01400e-01,9.40906e-01,2.16486e-06,5.90917e-02
1.79000e+00,5.01575e-01,9.42690e-01,1.64898e-06,5.73082e-02
1.79000e+00,5.01750e-01,9.43886e-01,1.29860e-06,5.61124e-02
1.79000e+00,5.01925e-01,9.45047e-01,1.04490e-06,5.49524e-02
1.79000e+00,5.02100e-01,9.46133e-01,8.49424e-07,5.38664e-02
1.79000e+00,5.02275e-01,9.47024e-01,7.07025e-07,5.29758e-02
1.79000e+00,5.02450e-01,9.47590e-01,6.37901e-07,5.24092e-02
1.79000e+00,5.02625e-01,9.47726e-01,6.88895e-07,5.22728e-02
